"","Adelaide","Brisbane Lions","Carlton","Collingwood","Essendon","Footscray","Fremantle","Geelong","Gold Coast","GWS","Hawthorn","Melbourne","North Melbourne","Port Adelaide","Richmond","St Kilda","Sydney","West Coast"
"Adelaide",0,-1,-4,1,-2,-2,2,5,-1,-2,1,-1,-8,-2,-1,-3,-1,-7
"Brisbane Lions",1,0,-2,-2,-3,-3,-1,1,-1,1,-2,1,-8,-3,-4,-7,1,-7
"Carlton",4,2,0,4,-3,3,1,-2,1,2,3,-4,1,-1,1,-1,2,-6
"Collingwood",-1,2,-4,0,-1,-1,1,2,2,2,1,-5,-6,-5,-3,-1,-1,-3
"Essendon",2,3,3,1,0,2,1,9,4,1,1,-1,-12,-1,1,2,1,-5
"Footscray",2,3,-3,1,-2,0,2,1,1,-4,4,-2,-9,-1,-4,-3,-2,-2
"Fremantle",-2,1,-1,-1,-1,-2,0,2,1,-1,-1,1,-2,-2,-3,-1,2,-3
"Geelong",-5,-1,2,-2,-9,-1,-2,0,-1,4,-5,-1,-14,-3,-3,-1,-1,-6
"Gold Coast",1,1,-1,-2,-4,-1,-1,1,0,6,-3,-2,-1,1,-1,-1,-1,-1
"GWS",2,-1,-2,-2,-1,4,1,-4,-6,0,2,-3,-5,1,-2,-4,-1,-3
"Hawthorn",-1,2,-3,-1,-1,-4,1,5,3,-2,0,-2,-7,-1,-3,-2,-1,-4
"Melbourne",1,-1,4,5,1,2,-1,1,2,3,2,0,-1,2,-6,2,-1,-3
"North Melbourne",8,8,-1,6,12,9,2,14,1,5,7,1,0,6,-3,6,10,-1
"Port Adelaide",2,3,1,5,1,1,2,3,-1,-1,1,-2,-6,0,-5,1,1,-4
"Richmond",1,4,-1,3,-1,4,3,3,1,2,3,6,3,5,0,5,1,-2
"St Kilda",3,7,1,1,-2,3,1,1,1,4,2,-2,-6,-1,-5,0,1,1
"Sydney",1,-1,-2,1,-1,2,-2,1,1,1,1,1,-10,-1,-1,-1,0,-5
"West Coast",7,7,6,3,5,2,3,6,1,3,4,3,1,4,2,-1,5,0
