"","Accor Stadium","Adelaide Arena at Jiangwan Stadium","Adelaide Hills","Adelaide Oval","Barossa Park","Blacktown ISP","Cazalys Stadium","Corroboree Group Oval Manuka","ENGIE Stadium","Football Park","Gabba","GMHBA Stadium","Hands Oval","M.C.G.","Mars Stadium","Marvel","Ninja Stadium","Norwood Oval","Optus Stadium","People First Stadium","Riverway Stadium","S.C.G.","Subiaco","TIO Stadium","TIO Traeger Park","UTAS Stadium","Wellington"
"Adelaide",0,0,0,6,0,0,1,-1,-3,2,-5,-9,0,1,-1,3,2,0,-2,-3,0,1,-1,-1,-1,-1,0
"Brisbane Lions",0,0,1,-1,0,0,1,-1,1,-1,2,1,0,4,-2,4,2,2,1,1,0,2,-7,1,0,-2,1
"Carlton",-1,0,0,-2,0,0,0,0,-1,1,-1,1,0,-2,0,-2,-1,0,5,1,0,-5,-2,1,0,-2,1
"Collingwood",2,0,0,10,0,0,0,0,-2,-1,2,0,0,4,0,4,0,0,4,-2,0,-3,1,0,0,0,0
"Essendon",-1,0,0,2,0,0,0,0,-4,1,-3,-1,0,-3,0,-3,0,0,-1,-2,0,-3,-6,-1,0,-1,0
"Footscray",0,0,0,-5,0,0,5,3,2,-2,-2,-1,0,-2,3,-1,0,-1,-2,2,0,2,-2,-2,0,-1,0
"Fremantle",-1,0,0,-3,1,0,-1,2,1,1,-4,-1,0,-2,0,-2,-1,1,5,1,0,-1,-1,-2,1,-1,0
"Geelong",-1,0,0,5,0,0,0,1,-2,-1,-1,1,0,2,0,-3,3,0,2,-1,0,-1,-1,-1,0,0,0
"Gold Coast",0,-2,-1,-11,1,0,1,-2,-8,-2,-10,-8,0,2,-2,2,-2,-1,1,2,-1,-2,-2,8,-1,-5,0
"GWS",-1,0,1,-2,0,-1,0,-2,3,-2,2,5,0,3,-1,2,3,2,2,1,0,-3,2,0,1,-2,0
"Hawthorn",1,0,0,-2,0,0,0,-1,-8,3,-2,-2,0,-2,0,6,1,-1,-1,-4,0,1,1,-2,0,10,0
"Melbourne",0,0,0,-3,0,0,-2,1,3,-1,1,-3,0,1,0,-2,2,0,1,-1,0,-1,1,-1,-3,0,0
"North Melbourne",1,0,-1,-13,-1,0,-1,1,-1,-2,-5,-6,1,-1,0,-5,-5,-1,-1,-8,0,-2,-4,-2,0,-3,0
"Port Adelaide",0,3,0,2,0,0,1,1,-1,-1,-4,1,0,-1,-1,-1,3,0,-1,-1,0,1,1,-1,-1,-4,0
"Richmond",1,0,0,-2,-1,0,1,-1,-1,1,-4,-4,0,1,0,-1,-2,-1,-2,-2,0,-2,2,1,0,0,0
"St Kilda",0,-1,0,1,0,0,-2,-1,2,-3,-3,-7,0,-2,0,-5,1,-1,-2,-1,1,1,1,0,1,-2,-3
"Sydney",1,0,1,1,0,0,-1,0,2,-1,-2,-1,0,1,0,1,3,0,5,-1,0,1,-1,0,0,1,1
"West Coast",0,0,-1,-10,0,1,0,0,-3,1,-4,-7,-1,-6,0,-6,1,0,-3,-2,0,-1,4,1,1,-2,0
